,Symbol,Datetime,Interval,Open,High,Low,Close,Volume,Exchange
167,ADANIPOWER,2025-03-03 12:42:00+05:30,1minute,484.2,484.8,484.0,484.25,6707,NSE_EQ
168,ADANIPOWER,2025-03-03 12:41:00+05:30,1minute,483.4,484.2,483.4,483.85,4698,NSE_EQ
169,ADANIPOWER,2025-03-03 12:40:00+05:30,1minute,483.15,483.7,483.0,483.35,4590,NSE_EQ
170,ADANIPOWER,2025-03-03 12:39:00+05:30,1minute,483.5,483.65,483.0,483.15,3453,NSE_EQ
171,ADANIPOWER,2025-03-03 12:38:00+05:30,1minute,483.1,483.8,483.0,483.65,7464,NSE_EQ
172,ADANIPOWER,2025-03-03 12:37:00+05:30,1minute,484.0,484.25,483.15,483.35,6469,NSE_EQ
173,ADANIPOWER,2025-03-03 12:36:00+05:30,1minute,484.85,485.0,483.7,484.2,19260,NSE_EQ
174,ADANIPOWER,2025-03-03 12:35:00+05:30,1minute,484.8,485.55,484.4,484.85,42341,NSE_EQ
175,ADANIPOWER,2025-03-03 12:34:00+05:30,1minute,484.35,484.6,484.0,484.6,12744,NSE_EQ
176,ADANIPOWER,2025-03-03 12:33:00+05:30,1minute,483.85,484.85,483.55,484.45,25302,NSE_EQ
177,ADANIPOWER,2025-03-03 12:32:00+05:30,1minute,483.35,484.0,483.2,484.0,10724,NSE_EQ
178,ADANIPOWER,2025-03-03 12:31:00+05:30,1minute,483.05,483.8,483.05,483.35,7546,NSE_EQ
179,ADANIPOWER,2025-03-03 12:30:00+05:30,1minute,482.35,483.4,482.2,483.25,9618,NSE_EQ
180,ADANIPOWER,2025-03-03 12:29:00+05:30,1minute,482.35,482.75,481.65,482.35,8333,NSE_EQ
181,ADANIPOWER,2025-03-03 12:28:00+05:30,1minute,482.2,482.95,482.2,482.4,4599,NSE_EQ
182,ADANIPOWER,2025-03-03 12:27:00+05:30,1minute,482.25,483.05,482.2,482.2,5316,NSE_EQ
183,ADANIPOWER,2025-03-03 12:26:00+05:30,1minute,483.0,483.0,481.95,482.4,8068,NSE_EQ
184,ADANIPOWER,2025-03-03 12:25:00+05:30,1minute,483.8,484.0,482.7,482.8,11011,NSE_EQ
185,ADANIPOWER,2025-03-03 12:24:00+05:30,1minute,483.25,484.35,483.25,483.95,24041,NSE_EQ
186,ADANIPOWER,2025-03-03 12:23:00+05:30,1minute,483.3,483.6,483.15,483.25,10509,NSE_EQ
187,ADANIPOWER,2025-03-03 12:22:00+05:30,1minute,482.35,483.45,482.0,483.3,27662,NSE_EQ
188,ADANIPOWER,2025-03-03 12:21:00+05:30,1minute,480.4,482.8,480.4,482.45,40694,NSE_EQ
189,ADANIPOWER,2025-03-03 12:20:00+05:30,1minute,480.5,481.0,480.2,480.4,4012,NSE_EQ
190,ADANIPOWER,2025-03-03 12:19:00+05:30,1minute,479.9,481.0,479.7,480.5,14485,NSE_EQ
191,ADANIPOWER,2025-03-03 12:18:00+05:30,1minute,479.0,480.3,479.0,480.0,12136,NSE_EQ
192,ADANIPOWER,2025-03-03 12:17:00+05:30,1minute,478.85,479.4,478.6,478.9,3344,NSE_EQ
193,ADANIPOWER,2025-03-03 12:16:00+05:30,1minute,478.5,479.05,478.5,478.85,1537,NSE_EQ
194,ADANIPOWER,2025-03-03 12:15:00+05:30,1minute,479.7,479.75,478.7,478.75,5475,NSE_EQ
195,ADANIPOWER,2025-03-03 12:14:00+05:30,1minute,479.0,479.75,478.75,479.6,6247,NSE_EQ
196,ADANIPOWER,2025-03-03 12:13:00+05:30,1minute,478.8,479.1,478.4,478.85,2955,NSE_EQ
197,ADANIPOWER,2025-03-03 12:12:00+05:30,1minute,478.2,478.8,478.05,478.55,3377,NSE_EQ
198,ADANIPOWER,2025-03-03 12:11:00+05:30,1minute,478.5,478.95,478.1,478.2,7534,NSE_EQ
199,ADANIPOWER,2025-03-03 12:10:00+05:30,1minute,479.4,479.4,478.5,478.6,2915,NSE_EQ
200,ADANIPOWER,2025-03-03 12:09:00+05:30,1minute,479.45,479.8,479.05,479.4,5461,NSE_EQ
201,ADANIPOWER,2025-03-03 12:08:00+05:30,1minute,479.45,479.5,479.0,479.5,2971,NSE_EQ
202,ADANIPOWER,2025-03-03 12:07:00+05:30,1minute,478.75,479.6,478.45,479.5,9630,NSE_EQ
203,ADANIPOWER,2025-03-03 12:06:00+05:30,1minute,478.25,478.85,478.25,478.75,4698,NSE_EQ
204,ADANIPOWER,2025-03-03 12:05:00+05:30,1minute,478.95,478.95,478.0,478.05,9796,NSE_EQ
205,ADANIPOWER,2025-03-03 12:04:00+05:30,1minute,479.05,479.25,478.9,478.9,11678,NSE_EQ
206,ADANIPOWER,2025-03-03 12:03:00+05:30,1minute,479.0,479.45,479.0,479.25,2515,NSE_EQ
207,ADANIPOWER,2025-03-03 12:02:00+05:30,1minute,479.4,479.65,479.0,479.0,1582,NSE_EQ
208,ADANIPOWER,2025-03-03 12:01:00+05:30,1minute,479.05,479.65,479.05,479.6,3307,NSE_EQ
209,ADANIPOWER,2025-03-03 12:00:00+05:30,1minute,479.05,479.55,479.0,479.25,5177,NSE_EQ
210,ADANIPOWER,2025-03-03 11:59:00+05:30,1minute,478.7,479.25,478.7,479.2,1415,NSE_EQ
211,ADANIPOWER,2025-03-03 11:58:00+05:30,1minute,478.9,479.0,478.65,478.7,3288,NSE_EQ
212,ADANIPOWER,2025-03-03 11:57:00+05:30,1minute,479.0,479.25,478.65,478.65,1701,NSE_EQ
213,ADANIPOWER,2025-03-03 11:56:00+05:30,1minute,479.0,479.5,479.0,479.2,5742,NSE_EQ
214,ADANIPOWER,2025-03-03 11:55:00+05:30,1minute,479.75,479.75,478.6,478.8,11512,NSE_EQ
215,ADANIPOWER,2025-03-03 11:54:00+05:30,1minute,480.05,480.05,479.25,479.55,5334,NSE_EQ
216,ADANIPOWER,2025-03-03 11:53:00+05:30,1minute,480.15,480.5,480.05,480.05,2390,NSE_EQ
217,ADANIPOWER,2025-03-03 11:52:00+05:30,1minute,480.4,480.45,480.15,480.15,2577,NSE_EQ
218,ADANIPOWER,2025-03-03 11:51:00+05:30,1minute,480.25,480.5,480.05,480.4,1873,NSE_EQ
219,ADANIPOWER,2025-03-03 11:50:00+05:30,1minute,480.25,480.5,480.0,480.1,4913,NSE_EQ
220,ADANIPOWER,2025-03-03 11:49:00+05:30,1minute,480.25,480.45,479.9,480.15,4578,NSE_EQ
221,ADANIPOWER,2025-03-03 11:48:00+05:30,1minute,480.75,480.85,480.05,480.05,3661,NSE_EQ
222,ADANIPOWER,2025-03-03 11:47:00+05:30,1minute,480.9,481.15,480.0,480.9,10323,NSE_EQ
223,ADANIPOWER,2025-03-03 11:46:00+05:30,1minute,480.35,481.3,479.75,480.9,16508,NSE_EQ
224,ADANIPOWER,2025-03-03 11:45:00+05:30,1minute,479.95,480.45,479.75,480.25,6281,NSE_EQ
225,ADANIPOWER,2025-03-03 11:44:00+05:30,1minute,479.55,479.95,479.3,479.95,5336,NSE_EQ
